start_time,close,datetime,high,low,open,volume
1708448400000,51321.2,2024-02-20 17:00:00,51395.9,50752.3,51395.9,2015.27439349
1708452000000,51503.9,2024-02-20 18:00:00,51541.4,51217.4,51321.2,467.7309007
1708455600000,52099.9,2024-02-20 19:00:00,52143.9,51425.7,51504.0,881.67913301
1708459200000,51990.1,2024-02-20 20:00:00,52225.8,51956.0,52099.9,873.04526633
1708462800000,52027.7,2024-02-20 21:00:00,52173.7,51893.0,51990.2,220.9537096
1708466400000,52172.4,2024-02-20 22:00:00,52302.0,52002.1,52027.1,221.36951825
1708470000000,52265.4,2024-02-20 23:00:00,52526.6,52156.0,52172.4,631.373653
1708473600000,52174.0,2024-02-21 00:00:00,52371.4,52125.9,52265.5,308.09564061
1708477200000,52102.3,2024-02-21 01:00:00,52292.3,52049.2,52174.1,198.53614969
1708480800000,52069.9,2024-02-21 02:00:00,52159.0,52040.0,52104.8,183.85035342
1708484400000,52002.0,2024-02-21 03:00:00,52101.6,51989.5,52068.5,179.5909079
1708488000000,51947.9,2024-02-21 04:00:00,52012.0,51810.0,52002.0,228.18655719
1708491600000,51832.8,2024-02-21 05:00:00,52112.2,51818.0,51951.3,204.58765662
1708495200000,51742.5,2024-02-21 06:00:00,51900.9,51674.7,51832.7,301.9755841
1708498800000,51565.5,2024-02-21 07:00:00,51782.0,51433.6,51742.6,488.33295594
1708502400000,51667.3,2024-02-21 08:00:00,51787.3,51528.4,51565.6,359.09319627
1708506000000,51095.5,2024-02-21 09:00:00,51698.0,50972.8,51667.2,920.06139846
1708509600000,51266.1,2024-02-21 10:00:00,51411.3,50888.0,51095.4,793.60217164
1708513200000,50965.3,2024-02-21 11:00:00,51365.0,50810.0,51266.1,447.93261854
1708516800000,51315.2,2024-02-21 12:00:00,51395.0,50533.8,50964.1,1073.56850291
1708520400000,51187.1,2024-02-21 13:00:00,51444.0,50893.2,51315.2,763.97589517
1708524000000,50928.5,2024-02-21 14:00:00,51213.3,50744.3,51187.2,813.3883132
1708527600000,51156.8,2024-02-21 15:00:00,51327.5,50840.6,50928.6,996.00075855
1708531200000,51342.0,2024-02-21 16:00:00,51428.0,51004.6,51156.9,562.27167246
1708534800000,50934.3,2024-02-21 17:00:00,51426.1,50891.8,51342.0,413.29642927
1708538400000,50856.2,2024-02-21 18:00:00,51114.0,50812.0,50934.3,497.15779781
1708542000000,51060.9,2024-02-21 19:00:00,51060.9,50650.0,50856.1,497.35130767
1708545600000,50951.0,2024-02-21 20:00:00,51133.3,50859.0,51060.8,397.23728677
1708549200000,51389.2,2024-02-21 21:00:00,51392.3,50938.1,50951.1,485.91285669
1708552800000,51505.0,2024-02-21 22:00:00,51526.5,51223.9,51389.3,221.06071071
1708556400000,51848.0,2024-02-21 23:00:00,51954.9,51479.9,51504.9,674.89687338
1708560000000,51532.5,2024-02-22 00:00:00,51879.9,51497.2,51848.1,392.08901134
1708563600000,51235.2,2024-02-22 01:00:00,51635.6,51150.0,51532.4,403.09756593
1708567200000,51416.5,2024-02-22 02:00:00,51491.4,51220.9,51235.2,190.13203055
1708570800000,51583.5,2024-02-22 03:00:00,51658.6,51368.3,51416.5,185.74246713
1708574400000,51433.9,2024-02-22 04:00:00,51643.7,51349.5,51583.5,258.21034329
1708578000000,51523.5,2024-02-22 05:00:00,51679.9,51420.5,51433.9,233.49392049
1708581600000,51765.0,2024-02-22 06:00:00,51810.4,51523.5,51523.5,344.92811149
